difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
1,図書館戦争,normal,100,100,87498,90551,92202,90667.0,3.6217970696473145,1.8232819074333717,0.03557751813223461,0.01806859441050007,0.6770334928229665,0.8253588516746412,0.743874379057081,1.0743874379057081
2,Metalic Gear,normal,100,100,101750,104156,106254,104865.5,3.0619164619164696,2.014286262913312,0.030159752333079572,0.019942678889608347,0.6052631578947368,0.8014354066985646,0.6896706050841389,1.0689670605084138
3,手が疲れる奴,matataki,100,100,28849,29747,30551,29825.5,3.384866026552036,2.7027935590143493,0.03328840199449857,0.026669131735330788,0.638755980861244,0.715311004784689,0.6748693932067561,1.0674869393206756
4,飛び水,matataki,100,100,22563,23023,23639,23231.0,2.960599211097814,2.6755852842809347,0.029176197126451996,0.02640417419651071,0.5813397129186603,0.7200956937799043,0.6433207852518997,1.06433207852519
5,Athletic Memory,normal,100,100,177851,182851,188688,183450.0,3.1481408594834948,3.192216613526866,0.030996029706862483,0.031423243803547364,0.6196172248803827,0.6626794258373205,0.6404252660144254,1.0640425266014426
6,Stare,normal,100,100,91649,92705,95276,94228.0,2.8139968793985837,2.7733131977778935,0.027751314178913182,0.027355534087851317,0.5669856459330144,0.7057416267942584,0.6287998704896212,1.062879987048962
7,Escape from U.L.,normal,100,100,439868,442958,461008,455854.0,3.634272099811753,4.074878430912188,0.035697900905385674,0.03994043900110233,0.6818181818181818,0.5813397129186603,0.6275826446280991,1.06275826446281
8,Viola,normal,100,100,83647,85147,88698,86653.0,3.5936734132724357,4.170434660058486,0.03530607453314406,0.04085816660259894,0.6722488038277512,0.562200956937799,0.6123196468973703,1.061231964689737
9,散歩道,normal,100,100,46686,47310,48525,47838.5,2.4686201430835775,2.5681674064679694,0.024386420772914946,0.02535743941201717,0.5095693779904307,0.7344497607655502,0.6016838424733162,1.0601683842473317
10,Colorless_Planet,normal,100,100,102551,103357,107850,106106.0,3.4665678540433564,4.347068897123552,0.03407835863349574,0.042552357989902145,0.6483253588516746,0.5478468899521531,0.593866028708134,1.0593866028708134
11,蜘蛛の巣,matataki,100,100,12005,12203,12504,12276.0,2.2573927530195714,2.466606572154384,0.02232290708427316,0.024366769969472974,0.47607655502392343,0.7440191387559809,0.5806267004409419,1.0580626700440943
12,カイﾀﾞﾝﾀﾞﾝ,matataki,100,100,16553,18634,19756,19439.0,17.434906059324582,6.021251475796929,0.16071400310194728,0.0584693736501452,0.9449760765550239,0.41866028708133973,0.5802484680601023,1.0580248468060103
13,Liar Truth,other,100,100,28400,28949,29800,29078.5,2.3890845070422495,2.939652492314071,0.023609924324578,0.02897273240328907,0.5,0.6866028708133971,0.5786290322580645,1.0578629032258065
14,Elementary_course,normal,100,100,93849,94856,97265,95903.5,2.1891549190721227,2.539639031795571,0.021655369899044423,0.02507926009401101,0.4569377990430622,0.7392344497607656,0.5647751196172249,1.0564775119617225
15,Happy Flavor!,normal,100,100,95850,97152,99654,97855.0,2.091810119979143,2.5753458498023685,0.020702321665279043,0.0254274240118067,0.45215311004784686,0.7296650717703349,0.5583267148364102,1.055832671483641
16,Electronic Escape,normal,100,100,98251,99750,105094,102226.0,4.045760348495175,5.357393483709272,0.03966061973110799,0.05218813199616779,0.7009569377990431,0.46172248803827753,0.5567271152066473,1.0556727115206648
17,BigBiome,normal,100,100,503594,511324,520639,513429.0,1.952962108365064,1.821741205184968,0.01934136513079928,0.018053463156861908,0.41866028708133973,0.8301435406698565,0.5566096537058426,1.0556609653705842
18,daydream planet,normal,100,100,66498,67598,69402,67878.5,2.0760022857830407,2.668718009408555,0.02054747028061246,0.026337288728885945,0.4473684210526316,0.7248803827751196,0.5532760472610097,1.0553276047261009
19,八の字,matataki,100,100,19250,19899,20999,20125.5,4.5480519480519455,5.527915975677167,0.04447660698270575,0.05380533833045245,0.7200956937799043,0.4473684210526315,0.5518766177739431,1.0551876617773943
20,ヒューストン,matataki,100,100,12675,12894,13298,12957.5,2.2287968441814687,3.13324026679076,0.022043221604477792,0.030851561091834845,0.4665071770334928,0.6722488038277512,0.5507920871697962,1.0550792087169796
21,はしご邪魔やねん,matataki,100,100,22150,22203,23024,22672.5,2.3589164785553063,3.6976985092104675,0.023315239848441128,0.036309735261572974,0.49521531100478466,0.6148325358851674,0.5485790298630588,1.0548579029863059
22,Title,normal,100,100,37549,38814,41003,39350.0,4.796399371487925,5.639717627660112,0.0468492281663395,0.05486422846926423,0.7296650717703349,0.43779904306220097,0.5472488038277513,1.0547248803827751
23,自然の中を駆け抜ける,normal,100,100,69800,71557,74959,71875.0,2.9727793696274984,4.754251855164404,0.029294489349187637,0.046446962493146386,0.5909090909090909,0.5,0.5416666666666667,1.0541666666666667
24,Neophyte Biome,normal,100,100,397451,398102,413097,406509.0,2.27902307454253,3.7666226243525447,0.022534412908466635,0.03697417835522135,0.4904306220095694,0.6004784688995215,0.5399038865105348,1.0539903886510535
